gene,module,n
CLEC4M,grey,1238
C1QTNF3,black,147
BAIAP2L2,grey,1238
COL4A3,turquoise,1278
C1orf175,grey,1238
CECR7,red,166
SLC4A4,green,313
PAIP2B,grey,1238
SLCO4A1,brown,642
SCAND3,grey,1238
ANKS6,turquoise,1278
SOSTDC1,grey,1238
KCNK15,turquoise,1278
LOXL1,turquoise,1278
ORM1,blue,703
NRG2,grey,1238
LAMC3,turquoise,1278
NCAM1,turquoise,1278
ZNF695,yellow,513
C6orf142,blue,703
AADAC,blue,703
SERPIND1,blue,703
C5orf58,red,166
MT2A,grey,1238
KCNG1,turquoise,1278
KIAA1549,grey,1238
DOK7,grey,1238
PDE11A,grey,1238
DDI2,green,313
FST,blue,703
ATOH8,grey,1238
TRIM17,yellow,513
HSD17B14,grey,1238
C12orf75,yellow,513
EPHB3,turquoise,1278
C9orf125,yellow,513
IL13RA2,grey,1238
FGF14,grey,1238
BEGAIN,turquoise,1278
FUT2,yellow,513
UNC13A,turquoise,1278
UBD,brown,642
B4GALNT3,turquoise,1278
RPS27,grey,1238
WNT2,turquoise,1278
PTPRT,turquoise,1278
SLC17A1,blue,703
LTF,turquoise,1278
SNHG3-RCC1,green,313
WT1,grey,1238
LAMA3,black,147
NAT8B,grey,1238
CRYAB,turquoise,1278
SLC22A25,blue,703
EPHA3,turquoise,1278
SLC45A2,black,147
LMX1B,turquoise,1278
ROR2,turquoise,1278
RNF17,red,166
KCNK1,grey,1238
PRR11,yellow,513
HAS2,turquoise,1278
MB,grey,1238
KIAA1755,turquoise,1278
ACMSD,blue,703
COLEC12,brown,642
DSCR4,red,166
ABCG5,blue,703
TIMD4,brown,642
SP5,black,147
ATP6V0D2,yellow,513
ZNF711,yellow,513
REEP1,turquoise,1278
PTPRH,grey,1238
STK33,grey,1238
MCHR1,blue,703
TM4SF5,blue,703
LY6E,turquoise,1278
CYP2C19,blue,703
ALDH8A1,blue,703
SLC25A18,blue,703
LOC154822,red,166
SIGLEC15,grey,1238
TRPC5,blue,703
ATP1A2,grey,1238
CLEC1B,turquoise,1278
DLX6,yellow,513
DHDPSL,grey,1238
TMEM145,yellow,513
SERHL2,turquoise,1278
GPM6A,turquoise,1278
IGF1,blue,703
DAB1,green,313
GLP1R,grey,1238
SLC38A4,blue,703
HCG4,grey,1238
RIC3,brown,642
C1orf130,blue,703
FGG,blue,703
ILDR2,green,313
ZNF883,yellow,513
ELMO3,turquoise,1278
CAMK2A,grey,1238
SNCG,grey,1238
TGFA,turquoise,1278
LRRC1,yellow,513
KCNE1L,grey,1238
GJB3,turquoise,1278
TF,blue,703
WNT5B,grey,1238
ORM2,blue,703
ALB,blue,703
ZSWIM5,grey,1238
NIPAL1,green,313
MAGEB1,red,166
TMPRSS6,blue,703
TYRO3,yellow,513
NGFR,turquoise,1278
CDH11,turquoise,1278
PLEKHG4,yellow,513
TMEM150B,grey,1238
MS4A8B,turquoise,1278
SLC22A9,blue,703
PDE3A,green,313
DRD1,blue,703
DPYSL4,turquoise,1278
ADAM12,turquoise,1278
KLK2,grey,1238
STAC,brown,642
GPR128,blue,703
NEURL,yellow,513
LOC100124692,turquoise,1278
UGT2B28,blue,703
CHRDL2,turquoise,1278
SLC23A3,blue,703
FBLN1,turquoise,1278
HNF1B,grey,1238
AFF3,grey,1238
TMED6,grey,1238
CXCL9,brown,642
SLC6A12,blue,703
PHGDH,grey,1238
FAM131C,turquoise,1278
PACRG,black,147
CLCNKA,grey,1238
MYBL2,yellow,513
FIBCD1,turquoise,1278
CPN1,blue,703
SLC24A3,turquoise,1278
PPP1R9A,yellow,513
SLC6A14,yellow,513
GMPR,grey,1238
ASNS,yellow,513
SFRP1,turquoise,1278
ROR1,green,313
CBLN1,blue,703
TPBG,turquoise,1278
CD38,brown,642
OBSL1,turquoise,1278
PCDHA10,turquoise,1278
ABHD1,blue,703
IBSP,yellow,513
LRRN1,turquoise,1278
OMD,turquoise,1278
LUZP2,black,147
IHH,grey,1238
ZNF716,red,166
COL4A6,grey,1238
MYH11,turquoise,1278
KAAG1,turquoise,1278
KRT85,grey,1238
CADM3,brown,642
GUCY1B2,yellow,513
HTR2B,grey,1238
CIDEA,grey,1238
FADS2,grey,1238
HOXD1,turquoise,1278
CCL18,brown,642
FAM66D,grey,1238
GABRE,grey,1238
SSTR2,brown,642
90288,blue,703
NPR3,green,313
AZGP1,blue,703
CILP2,turquoise,1278
PLAC8,brown,642
CXCL10,brown,642
RGS7BP,green,313
RGS1,brown,642
MEGF6,turquoise,1278
CD19,brown,642
SELE,blue,703
SULT1C4,green,313
OVOL2,turquoise,1278
LOC613037,green,313
GALNT12,turquoise,1278
SOX6,green,313
PCDHB8,turquoise,1278
SPTA1,grey,1238
ODZ3,turquoise,1278
NCOA2,green,313
MDFI,turquoise,1278
IRF4,brown,642
PCDHGA10,green,313
IDO1,brown,642
FAM135B,grey,1238
FGA,blue,703
C20orf114,turquoise,1278
DKK2,turquoise,1278
CD8B,brown,642
KIAA1324,brown,642
G0S2,blue,703
C20orf54,turquoise,1278
ANK3,turquoise,1278
PLA2G1B,grey,1238
F2RL2,turquoise,1278
FLJ42875,turquoise,1278
TBX3,black,147
SIM1,grey,1238
PF4V1,turquoise,1278
SIGLEC14,brown,642
AQP7P3,blue,703
NAT8,blue,703
TMEM139,grey,1238
CES3,blue,703
LARP6,turquoise,1278
LCN10,turquoise,1278
TSPY3,red,166
ZNF239,yellow,513
TOX3,black,147
DERL3,brown,642
ADAM28,brown,642
TMED3,yellow,513
CHRM3,red,166
COLEC11,turquoise,1278
CHST8,turquoise,1278
SERPINA3,blue,703
ABCC4,turquoise,1278
RBMY1A1,red,166
PGR,turquoise,1278
DNAJC12,black,147
PCDHGA12,green,313
MBOAT4,turquoise,1278
GPRC5A,turquoise,1278
FCGR3B,brown,642
LOC440173,red,166
DDX53,red,166
FGF2,black,147
RASSF3,green,313
IGFBPL1,yellow,513
LRRN2,turquoise,1278
KCNN2,turquoise,1278
DSG2,yellow,513
RASSF9,turquoise,1278
ITIH3,blue,703
PTPLB,green,313
GSTO2,grey,1238
MAGEA4,red,166
ITIH1,blue,703
CDH9,red,166
PGM5,grey,1238
RGS4,turquoise,1278
C8B,blue,703
EPN3,turquoise,1278
SLC26A9,turquoise,1278
TIMP1,turquoise,1278
TMEM63C,brown,642
ENAM,grey,1238
C1orf210,grey,1238
ZDBF2,turquoise,1278
CEL,grey,1238
CDA,blue,703
MDGA1,turquoise,1278
KCNK5,turquoise,1278
SLC16A4,green,313
MTUS2,grey,1238
FOXP3,grey,1238
CR2,brown,642
BAGE,red,166
COL5A1,turquoise,1278
HLA-DQA2,brown,642
PLGLB2,blue,703
FAM5C,red,166
SGCE,yellow,513
FCHO1,brown,642
KCNH3,turquoise,1278
PAH,blue,703
AKR1C2,blue,703
GFRA3,yellow,513
TTLL7,green,313
KLHL34,grey,1238
LINGO4,blue,703
HRCT1,grey,1238
MCF2L2,grey,1238
DNALI1,grey,1238
NAGS,blue,703
SDCBP2,turquoise,1278
S100A9,brown,642
CHI3L2,brown,642
C1orf126,turquoise,1278
GPR109B,brown,642
STOX1,yellow,513
STEAP4,grey,1238
GJA10,grey,1238
WNK3,green,313
TRIM16L,grey,1238
ECHDC3,blue,703
SLC6A1,blue,703
TG,black,147
KCNH6,grey,1238
INMT,turquoise,1278
COL3A1,turquoise,1278
F2,blue,703
PCDH7,turquoise,1278
C10orf108,grey,1238
PITX2,yellow,513
FAM43B,turquoise,1278
ABCA6,blue,703
RASD1,grey,1238
ADAMTSL3,green,313
HSPB6,turquoise,1278
PADI2,brown,642
CPA6,grey,1238
APBA2,turquoise,1278
ESYT3,yellow,513
DIRAS3,grey,1238
PCDHB2,turquoise,1278
MYOM1,grey,1238
SYT12,grey,1238
MIA2,green,313
CAMK2N2,grey,1238
XAGE5,red,166
PLGLA,blue,703
PAK3,grey,1238
LY6K,grey,1238
CLIP4,grey,1238
LOC441601,red,166
F13A1,brown,642
MAFA,grey,1238
KIAA0125,brown,642
SLC7A14,grey,1238
TREM1,brown,642
RCOR2,yellow,513
ME1,grey,1238
ABI3BP,turquoise,1278
CRTAC1,turquoise,1278
ZNF192,green,313
DOK6,turquoise,1278
CP,blue,703
KCNK2,turquoise,1278
HLA-DQB2,brown,642
CPXM1,turquoise,1278
IPW,grey,1238
TSPAN13,grey,1238
PHYHIPL,black,147
OLFM1,turquoise,1278
WLS,grey,1238
C6orf97,blue,703
EDAR,green,313
CALML3,grey,1238
TFAP2C,turquoise,1278
SLC17A3,blue,703
RAMP1,blue,703
PTPN13,turquoise,1278
ERP27,turquoise,1278
TMEM61,turquoise,1278
AASS,blue,703
TPTE2P1,grey,1238
GLUL,black,147
BCL11A,turquoise,1278
SLC46A3,blue,703
LRP4,grey,1238
CDRT1,grey,1238
COL8A2,turquoise,1278
KRT13,grey,1238
APOC2,blue,703
NAP1L6,red,166
FUT3,turquoise,1278
SOBP,grey,1238
C3orf66,grey,1238
DUSP15,grey,1238
LOC90586,blue,703
SIX4,grey,1238
SPTBN2,blue,703
PHLDA3,turquoise,1278
KCNK13,brown,642
SORCS1,yellow,513
UST,grey,1238
PCDHA3,turquoise,1278
CECR2,blue,703
ZNF541,blue,703
QSOX1,turquoise,1278
EIF5A2,turquoise,1278
PCDHAC1,turquoise,1278
PTPLA,turquoise,1278
NBPF10,green,313
CLDN18,yellow,513
C21orf56,yellow,513
GFAP,grey,1238
DDR1,turquoise,1278
MYH7B,black,147
VCAM1,brown,642
BEX5,grey,1238
LIMS3-LOC440895,grey,1238
OSR1,turquoise,1278
NCRNA00189,red,166
TNC,turquoise,1278
TMEM200B,grey,1238
SLC6A20,turquoise,1278
ZNF813,yellow,513
KCNJ10,brown,642
DNASE1L3,grey,1238
ARNTL2,brown,642
CHODL,grey,1238
NUDT16P1,grey,1238
EYA2,turquoise,1278
GRIK2,yellow,513
PVRL4,turquoise,1278
SLC38A1,brown,642
KRT15,turquoise,1278
GPR77,grey,1238
PAK6,yellow,513
GXYLT2,brown,642
HOXD10,grey,1238
CXCL2,blue,703
IGSF3,yellow,513
PLIN1,blue,703
CADM2,red,166
DBH,green,313
NPNT,turquoise,1278
TBX18,grey,1238
RDH12,grey,1238
RASL11B,turquoise,1278
SELP,turquoise,1278
MMP11,turquoise,1278
ZNF471,grey,1238
FBP1,blue,703
GLI2,turquoise,1278
BHLHE41,turquoise,1278
IGFN1,turquoise,1278
PRG2,blue,703
CXCL11,brown,642
SUSD3,grey,1238
SCN9A,grey,1238
BHLHE22,turquoise,1278
HIPK3,green,313
ZNF311,grey,1238
ST14,turquoise,1278
LOC134466,red,166
FBXO2,blue,703
KCNK3,turquoise,1278
FAM64A,yellow,513
ATP2C2,turquoise,1278
RRAD,turquoise,1278
TTLL2,grey,1238
ZBTB16,blue,703
CYP3A5,blue,703
PALM3,grey,1238
CLDN11,turquoise,1278
CCL28,grey,1238
HOMER1,brown,642
RIBC2,yellow,513
CXCR2P1,brown,642
MEP1B,blue,703
FGF12,grey,1238
ICAM5,grey,1238
SEL1L3,brown,642
C19orf46,grey,1238
ZNF229,yellow,513
VIPR1,grey,1238
NAALADL1,yellow,513
LOC162632,grey,1238
CNFN,turquoise,1278
SP8,yellow,513
APOM,blue,703
DDX43,grey,1238
RPL9,grey,1238
GLDC,blue,703
MMP2,turquoise,1278
GSTM3,grey,1238
MUC20,grey,1238
PLEKHH2,turquoise,1278
KIAA1324L,turquoise,1278
TRIM29,grey,1238
FCGR2C,brown,642
RHOBTB1,black,147
COL8A1,turquoise,1278
RHCE,blue,703
SEMA3B,grey,1238
BANK1,brown,642
CREB3L3,blue,703
CPXM2,turquoise,1278
CD27,brown,642
MCTP1,green,313
ACSM3,blue,703
C14orf180,turquoise,1278
RAP1GAP2,turquoise,1278
PCDHA4,turquoise,1278
TNFAIP6,turquoise,1278
ERAP2,grey,1238
NR0B2,blue,703
DEPDC1B,yellow,513
SUSD5,turquoise,1278
PRSS50,grey,1238
HSD17B3,grey,1238
ETNK2,blue,703
TCN1,turquoise,1278
PCOLCE,grey,1238
EDA2R,grey,1238
GSTM5,turquoise,1278
TMEM154,brown,642
SERPINA5,blue,703
CAPN8,grey,1238
PCDH9,turquoise,1278
LOC400043,turquoise,1278
LEAP2,blue,703
HES2,turquoise,1278
EDA,turquoise,1278
MNS1,grey,1238
C7orf58,blue,703
IL22RA1,blue,703
CLDN7,grey,1238
TMEM171,grey,1238
SEC14L2,blue,703
GBP5,brown,642
FGF13,grey,1238
TM4SF19,brown,642
HLA-DRB6,brown,642
ROS1,grey,1238
ITPKA,yellow,513
MT1DP,grey,1238
EFHD1,grey,1238
ZNF331,yellow,513
FRMD3,green,313
LRRC24,grey,1238
ZBTB7C,grey,1238
WIF1,black,147
EBF4,turquoise,1278
RERGL,turquoise,1278
PLBD1,brown,642
MXRA5,turquoise,1278
ISL2,yellow,513
GOLGA6A,blue,703
SHISA9,turquoise,1278
TNFRSF9,brown,642
RGS9,grey,1238
PCBP3,turquoise,1278
ZNF257,yellow,513
EN2,turquoise,1278
CDC20B,grey,1238
CTLA4,brown,642
CT45A1,red,166
OXCT1,brown,642
PVRL3,green,313
NRG4,grey,1238
RSPH1,turquoise,1278
FMO2,turquoise,1278
ACOT11,yellow,513
PADI3,grey,1238
ANKRD26P1,red,166
TMEM98,yellow,513
MT1B,grey,1238
PPFIA4,yellow,513
CYP4F3,blue,703
KIAA0802,turquoise,1278
CEACAM5,grey,1238
S100A2,brown,642
LEPREL2,turquoise,1278
CATSPERB,turquoise,1278
TCL6,red,166
ALOX5,brown,642
KLK11,turquoise,1278
ROPN1B,blue,703
C9orf66,brown,642
SLC38A3,blue,703
CDKN2A,grey,1238
DSCR6,yellow,513
PLAG1,grey,1238
C5orf46,turquoise,1278
MGAT5,green,313
MS4A10,grey,1238
C4orf6,grey,1238
OSMR,green,313
S100A1,grey,1238
HAS1,turquoise,1278
C5orf23,green,313
KRT81,turquoise,1278
TNNI3,yellow,513
ZNF703,green,313
GALNT3,turquoise,1278
GGT3P,grey,1238
ALOX12P2,grey,1238
EMID1,turquoise,1278
GJB6,yellow,513
CLSTN2,turquoise,1278
DKFZp686O24166,green,313
C10orf90,turquoise,1278
HOXA11,yellow,513
ADAP1,turquoise,1278
LSAMP,turquoise,1278
NAPSB,brown,642
PPP2R2B,brown,642
BAMBI,black,147
KISS1R,yellow,513
COL28A1,red,166
HTR3A,brown,642
MLF1,turquoise,1278
SEMA3A,brown,642
JSRP1,brown,642
SLC27A2,blue,703
C12orf36,turquoise,1278
PCDHB16,turquoise,1278
HMCN1,turquoise,1278
CLIC3,brown,642
BAALC,grey,1238
TM6SF2,blue,703
C1orf172,grey,1238
MAT1A,blue,703
DAZ1,grey,1238
DMGDH,blue,703
RAB34,turquoise,1278
PHLDA2,brown,642
FGGY,blue,703
C10orf35,yellow,513
ARSI,turquoise,1278
IGLON5,turquoise,1278
GZMK,brown,642
TPSG1,turquoise,1278
GAS2L3,green,313
CYP4F11,blue,703
CCR6,brown,642
NRG3,turquoise,1278
KCNT2,grey,1238
CST2,turquoise,1278
HLA-DRB5,brown,642
KCNH8,red,166
PCDHGB6,green,313
DEGS2,turquoise,1278
B3GALT2,brown,642
GEM,turquoise,1278
EMILIN3,grey,1238
SLC44A4,grey,1238
POU2F3,black,147
CSDC2,turquoise,1278
SELM,brown,642
PCDHGB7,green,313
FAM110C,grey,1238
PPAPDC1A,turquoise,1278
FCGBP,brown,642
ABCG2,blue,703
SEPT3,yellow,513
LTB,brown,642
SLC6A15,yellow,513
LOC400804,grey,1238
HS3ST3B1,green,313
SLC16A14,grey,1238
BATF,brown,642
GAL,turquoise,1278
SSX6,red,166
PKIA,brown,642
CH25H,turquoise,1278
ITGAD,brown,642
ATP2B2,blue,703
SYS1-DBNDD2,green,313
ODZ4,turquoise,1278
DNM1,turquoise,1278
KIF15,yellow,513
KPNA7,grey,1238
C1QL4,yellow,513
A4GNT,turquoise,1278
ZNF826,yellow,513
ANGPTL4,blue,703
MLPH,grey,1238
KLHL29,turquoise,1278
C1QTNF1,turquoise,1278
TNNT2,yellow,513
ATP10A,turquoise,1278
GLOD5,blue,703
SSC5D,turquoise,1278
GABRG2,red,166
S100A8,brown,642
PPP1R14C,turquoise,1278
SLC6A6,brown,642
PAR-SN,grey,1238
TFCP2L1,turquoise,1278
RNF157,grey,1238
ENTPD8,blue,703
ADH6,blue,703
CCBE1,turquoise,1278
HLF,black,147
CD8A,brown,642
ZNF320,yellow,513
ANO2,grey,1238
AMZ1,turquoise,1278
LOC647946,yellow,513
ITLN1,grey,1238
RICH2,turquoise,1278
EMILIN1,turquoise,1278
SPARCL1,black,147
ZNF28,yellow,513
SLC44A3,grey,1238
MUC12,brown,642
OTX1,yellow,513
TUBA4B,blue,703
SCN7A,turquoise,1278
VCX,red,166
RBP5,blue,703
SLC17A4,blue,703
SCGB1D2,grey,1238
CILP,turquoise,1278
CBLC,grey,1238
TTBK1,blue,703
CGA,grey,1238
ZNF334,grey,1238
XG,grey,1238
HSPB7,turquoise,1278
LPPR1,black,147
ROBO1,grey,1238
CD3D,brown,642
COL1A2,turquoise,1278
LRRN4,grey,1238
ALDH1A2,turquoise,1278
SHC4,grey,1238
TNIK,turquoise,1278
CHAC1,grey,1238
ALDOC,grey,1238
MAST1,grey,1238
KCNJ11,turquoise,1278
SLC7A1,turquoise,1278
MMP23B,turquoise,1278
SLC16A7,green,313
PDE1A,turquoise,1278
NPTX1,turquoise,1278
HR,turquoise,1278
HAPLN4,blue,703
MDK,yellow,513
HSD17B2,blue,703
ASXL3,blue,703
ZNF667,grey,1238
NAT8L,turquoise,1278
MEOX1,turquoise,1278
CD207,turquoise,1278
TDRD5,yellow,513
FAM159A,brown,642
UHMK1,green,313
FCER1A,turquoise,1278
HLA-DOB,brown,642
PKHD1L1,grey,1238
ART4,blue,703
NBPF9,green,313
SLC22A18AS,grey,1238
PLEKHN1,turquoise,1278
BAAT,blue,703
GRIK4,grey,1238
ARSJ,green,313
SLC5A9,grey,1238
TMEM40,grey,1238
ZNF215,brown,642
PROX1,green,313
ADCY10,blue,703
TLE6,grey,1238
TRIM15,grey,1238
ABCC8,grey,1238
BAI2,turquoise,1278
SLC14A2,black,147
GTF2H2B,grey,1238
SLC22A3,blue,703
CXCL12,turquoise,1278
CLSPN,yellow,513
ATAD3C,grey,1238
C12orf39,grey,1238
PBX1,turquoise,1278
TP73,grey,1238
C15orf59,turquoise,1278
KIF25,grey,1238
IRF6,blue,703
SCGB2A1,grey,1238
MBL1P,grey,1238
KCNS3,turquoise,1278
DTNA,grey,1238
IL21R,brown,642
GAST,grey,1238
LDOC1,turquoise,1278
PFKP,brown,642
TNNI2,brown,642
ADAMTS3,turquoise,1278
GPR109A,brown,642
ABCA13,red,166
MGAT4C,grey,1238
CYP2S1,brown,642
ANKRD36BP1,green,313
MYBPHL,grey,1238
PTN,turquoise,1278
ADAMTSL5,grey,1238
ZBED2,brown,642
CD109,grey,1238
ABCC9,blue,703
LOC440925,black,147
MYOM2,turquoise,1278
TMIE,grey,1238
SCD,grey,1238
IL27,blue,703
LOC150197,grey,1238
PNMT,grey,1238
HIST1H2AG,grey,1238
SCARA3,grey,1238
SUSD2,turquoise,1278
KCTD14,grey,1238
ITIH4,blue,703
GPT,blue,703
KLHL23,green,313
IL6,turquoise,1278
NXN,turquoise,1278
AVIL,green,313
SSX3,red,166
ZDHHC20,green,313
SCD5,turquoise,1278
PLD4,brown,642
PCDHB11,turquoise,1278
GAS1,turquoise,1278
JAKMIP2,blue,703
SSPO,green,313
BMPR1B,turquoise,1278
PAX2,grey,1238
KIF6,grey,1238
C3orf15,grey,1238
IL1RL1,turquoise,1278
FABP6,yellow,513
TMEM74,grey,1238
SLC22A8,grey,1238
ASPN,turquoise,1278
KIF12,yellow,513
CXCL3,turquoise,1278
MFSD7,turquoise,1278
RASSF6,turquoise,1278
KIAA0754,green,313
CLEC5A,brown,642
PNMA2,turquoise,1278
ZNF468,yellow,513
LINGO1,turquoise,1278
PRRG2,grey,1238
HAPLN1,grey,1238
ASB4,blue,703
TCAP,grey,1238
TNFSF9,brown,642
C14orf73,blue,703
PLA2G12B,blue,703
PMEPA1,turquoise,1278
PLEKHG6,grey,1238
TFPI2,turquoise,1278
PCDHA7,grey,1238
SLAMF9,grey,1238
LOC148709,black,147
C21orf90,grey,1238
FRMD1,yellow,513
PLA2R1,turquoise,1278
RPL10L,red,166
SIRPG,brown,642
CERCAM,turquoise,1278
ARMCX3,turquoise,1278
SSPN,turquoise,1278
NGFRAP1,grey,1238
AIM2,brown,642
AKAP12,green,313
ENO3,grey,1238
SPATA13,green,313
SCIN,turquoise,1278
ACPT,yellow,513
KLHDC8A,turquoise,1278
C6orf168,turquoise,1278
ENTPD3,turquoise,1278
TIGIT,brown,642
KRTAP5-2,grey,1238
RBMY2FP,red,166
C11orf93,yellow,513
SBNO1,green,313
AKR1C1,grey,1238
RTN4RL1,turquoise,1278
ST6GALNAC2,grey,1238
BTBD16,blue,703
PDLIM4,turquoise,1278
RBM24,grey,1238
PPM1H,turquoise,1278
RAB27B,turquoise,1278
HSPA7,brown,642
C1orf168,blue,703
RNF165,grey,1238
SPDYC,blue,703
CACNA1D,turquoise,1278
MYH13,turquoise,1278
HOXB9,turquoise,1278
RGPD5,green,313
MGP,turquoise,1278
CDH6,turquoise,1278
DLX5,yellow,513
SEMA6A,turquoise,1278
ACPP,grey,1238
CRABP2,turquoise,1278
SYTL5,grey,1238
PTH1R,turquoise,1278
ESPNL,grey,1238
ADAMTS12,green,313
DLG3,turquoise,1278
FBLN5,turquoise,1278
ZNF844,green,313
SYNGR3,brown,642
TLR10,brown,642
UPK3BL,grey,1238
ADAM22,yellow,513
GPR98,blue,703
CCL11,turquoise,1278
LTK,turquoise,1278
AMOT,green,313
LY96,brown,642
GLB1L3,red,166
NPY1R,turquoise,1278
GCKR,blue,703
LPAL2,blue,703
C11orf41,turquoise,1278
DSEL,turquoise,1278
PRICKLE1,turquoise,1278
SULT1A2,blue,703
ZNF681,yellow,513
SMOC2,turquoise,1278
SYT17,grey,1238
C15orf43,blue,703
PDK4,blue,703
TTC9,black,147
RARRES1,brown,642
TMEM132E,turquoise,1278
RTKN2,yellow,513
EDN2,grey,1238
CPLX1,grey,1238
CRYBG3,green,313
LOC100132354,black,147
KLHL3,turquoise,1278
PRAMEF6,grey,1238
LOC285629,grey,1238
COL5A3,blue,703
ZNF702P,yellow,513
PCDHGA8,grey,1238
LCAT,blue,703
TPPP2,blue,703
PARD3B,green,313
ABCC2,blue,703
ZDHHC8P1,turquoise,1278
C6orf222,brown,642
CHST5,grey,1238
PREX2,green,313
ITGA11,turquoise,1278
FCGR1A,brown,642
SERPINE1,grey,1238
TEX15,yellow,513
F2RL3,turquoise,1278
FNIP2,green,313
C1orf161,green,313
SGSM1,turquoise,1278
ALPK3,grey,1238
MAL2,grey,1238
CCDC8,turquoise,1278
VASH2,grey,1238
GGT5,turquoise,1278
NOL4,blue,703
HAGHL,brown,642
TFR2,blue,703
SLC5A10,grey,1238
EPB41L1,turquoise,1278
LRRC19,grey,1238
CPA2,grey,1238
MAP3K15,yellow,513
LGALS3BP,brown,642
ARID3C,blue,703
NPB,grey,1238
IQCH,black,147
SLC38A5,brown,642
MAGEA9B,red,166
VSIG10L,grey,1238
GPR97,grey,1238
SUCNR1,green,313
NRSN2,yellow,513
PTGER1,turquoise,1278
EPR1,yellow,513
RAB36,turquoise,1278
COL4A4,turquoise,1278
NPHP4,turquoise,1278
ST6GALNAC5,brown,642
C13orf33,turquoise,1278
CD1E,brown,642
LY6H,turquoise,1278
FCRL3,brown,642
RBP4,blue,703
IL2RA,brown,642
DBC1,turquoise,1278
FRRS1,green,313
TSKU,blue,703
CR1,brown,642
NEIL3,yellow,513
CCL26,turquoise,1278
CST4,black,147
LOC338651,turquoise,1278
TNFRSF17,brown,642
LOC641298,green,313
TRIM40,grey,1238
ITGB3,green,313
SHISA2,turquoise,1278
SERPINF2,blue,703
SCNN1A,grey,1238
SRPX2,turquoise,1278
TTK,yellow,513
CA3,grey,1238
GNAL,grey,1238
CDKN1C,turquoise,1278
FADS1,grey,1238
MMP3,grey,1238
PFN2,brown,642
TWIST2,turquoise,1278
BASP1,brown,642
STK39,turquoise,1278
LPPR4,green,313
CCNJL,turquoise,1278
PCDHB3,grey,1238
IRX5,grey,1238
SIGLEC12,brown,642
CCNT1,green,313
TUBB4,grey,1238
C1orf88,yellow,513
CD1C,brown,642
LOC153328,grey,1238
CYP1B1,turquoise,1278
FIGNL2,yellow,513
SESN3,green,313
REST,green,313
PLN,turquoise,1278
FAM83A,grey,1238
UGT8,yellow,513
CRISPLD2,turquoise,1278
DUSP5P,yellow,513
MRC2,turquoise,1278
PRSS21,brown,642
HECW1,grey,1238
NCRNA00093,blue,703
LPHN1,turquoise,1278
SKAP1,brown,642
PCDHGB1,green,313
CCDC13,grey,1238
ZNF83,yellow,513
MAP2,grey,1238
FSTL3,turquoise,1278
KCTD17,yellow,513
PRRT4,grey,1238
BMPER,turquoise,1278
ASAH2,green,313
ANGPTL7,grey,1238
SYN1,turquoise,1278
RFPL4A,grey,1238
ANKRD29,black,147
LGALS9C,brown,642
HMGN5,blue,703
CT47B1,red,166
TIAM2,turquoise,1278
CDH3,turquoise,1278
C5orf30,brown,642
AMDHD1,blue,703
ATP6V1B1,turquoise,1278
UTS2,brown,642
NPBWR1,turquoise,1278
REEP2,yellow,513
NBEA,turquoise,1278
FOXA3,grey,1238
PCDHB13,turquoise,1278
KCNK17,turquoise,1278
SLC16A10,grey,1238
N4BP2,green,313
SNTG1,black,147
BARD1,green,313
CCL14-CCL15,blue,703
TTTY14,grey,1238
FOS,turquoise,1278
NAALADL2,green,313
CXorf48,red,166
ID4,turquoise,1278
CYP4F12,blue,703
TBX1,turquoise,1278
CLDN3,blue,703
IFI44L,brown,642
ZNF135,grey,1238
GSDMC,grey,1238
GPAT2,grey,1238
ITGA2,green,313
TCTEX1D1,grey,1238
CYP27C1,grey,1238
BIRC7,brown,642
CCNE1,yellow,513
GGTLC1,grey,1238
CCBP2,blue,703
TREM2,brown,642
TNFAIP8L3,turquoise,1278
C11orf92,yellow,513
MMP28,turquoise,1278
WISP1,turquoise,1278
ENO2,brown,642
ARHGAP28,turquoise,1278
HTR4,grey,1238
TCL1A,brown,642
FBXL21,grey,1238
HGD,blue,703
CACNB4,black,147
TUBB2B,grey,1238
SEPT14,red,166
UPK1A,yellow,513
TBC1D3C,grey,1238
TUBA3D,grey,1238
INPP5J,yellow,513
NME5,turquoise,1278
BAI1,turquoise,1278
ALDH3B2,turquoise,1278
CD7,brown,642
PRR19,yellow,513
PCNXL2,turquoise,1278
PAPPA,turquoise,1278
C14orf105,grey,1238
DAGLA,turquoise,1278
NAP1L3,turquoise,1278
KCNAB2,brown,642
C1orf170,brown,642
KCNE4,turquoise,1278
IL28RA,blue,703
CD177,brown,642
DMRTA1,blue,703
MYH1,grey,1238
HERC2P4,red,166
C6orf176,turquoise,1278
SCNN1B,grey,1238
EPSTI1,brown,642
NEK10,grey,1238
FAT4,green,313
BLK,brown,642
MAP9,turquoise,1278
PPTC7,green,313
APOD,turquoise,1278
SLAMF7,brown,642
PIWIL4,turquoise,1278
SLC7A9,blue,703
TDRD9,brown,642
SPATA17,yellow,513
DUOX1,yellow,513
MUSTN1,grey,1238
BDKRB2,turquoise,1278
NAALAD2,yellow,513
IGSF10,green,313
SLC35F3,turquoise,1278
LOC29034,blue,703
VGF,yellow,513
PKNOX2,turquoise,1278
ARHGAP36,grey,1238
CHAD,blue,703
ONECUT1,green,313
TRIM16,grey,1238
DISP2,grey,1238
ETV7,brown,642
SCG2,turquoise,1278
NR2F1,green,313
