gene,module,n
EPHA10,turquoise,1278
NPY6R,grey,1238
ADCY1,grey,1238
HUNK,turquoise,1278
NAA11,red,166
ABP1,grey,1238
PCDP1,turquoise,1278
PYROXD2,grey,1238
FBXW10,grey,1238
SLC5A12,red,166
PPP1R1B,turquoise,1278
TRPV6,turquoise,1278
EHF,green,313
HRASLS2,grey,1238
NPM2,grey,1238
FABP4,blue,703
UPB1,blue,703
MYRIP,blue,703
TTR,blue,703
ENPP7,blue,703
AGXT2,blue,703
OXT,grey,1238
AKAP2,green,313
GNAO1,blue,703
LONRF2,turquoise,1278
GYLTL1B,yellow,513
PNMAL1,turquoise,1278
PHYHD1,blue,703
ZPLD1,yellow,513
SSTR5,turquoise,1278
PNMA5,red,166
MEG3,grey,1238
DUSP9,yellow,513
LOC100133545,grey,1238
PRAMEF11,blue,703
TTYH1,turquoise,1278
NTRK2,turquoise,1278
KIAA1239,grey,1238
ANXA8,turquoise,1278
TTTY15,grey,1238
ABCG8,blue,703
ANXA10,blue,703
FAM155B,yellow,513
KCNF1,turquoise,1278
UGT1A8,green,313
EMID2,grey,1238
FTCD,blue,703
C2orf89,grey,1238
ZNF385D,black,147
PDPN,turquoise,1278
KCNJ4,blue,703
LOC283392,grey,1238
CFHR1,blue,703
ANKRD22,brown,642
LYPD6B,turquoise,1278
DYDC2,grey,1238
CKMT1A,yellow,513
CYP26A1,blue,703
PRAP1,blue,703
ACSM2A,blue,703
WDR72,grey,1238
RANBP17,grey,1238
AOX1,blue,703
FBXL16,grey,1238
VCAN,turquoise,1278
SLC1A1,blue,703
RASAL1,turquoise,1278
CXCL17,grey,1238
DIRAS2,grey,1238
CEACAM6,turquoise,1278
DPYS,blue,703
CLIC6,turquoise,1278
UCA1,turquoise,1278
ARL14,brown,642
TRPM8,blue,703
PI15,grey,1238
DIO1,blue,703
RBP1,black,147
COL16A1,turquoise,1278
FAM101A,turquoise,1278
ADCY8,black,147
MSC,turquoise,1278
CCNO,grey,1238
AHNAK2,turquoise,1278
GPC4,turquoise,1278
PLXNC1,green,313
REN,blue,703
MATN3,black,147
TPSAB1,brown,642
CDCA7,yellow,513
SPHK1,yellow,513
LRRC31,grey,1238
AXIN2,black,147
CYS1,turquoise,1278
ACSL4,grey,1238
TPSB2,brown,642
UGT2B7,blue,703
EMX1,grey,1238
DARC,turquoise,1278
UGT2B11,grey,1238
