Hugo_Symbol,GATA2-High,GATA2-Low,pval,or,ci.up,ci.low,adjPval
ZNF227,2,5,0.44854261378972,0.398673646799571,2.47471342464893,0.0374812153580004,0.760436198727224
COL6A6,7,11,0.469268704570988,0.629729329683109,1.82822274668748,0.201882668275655,0.780745674716923
UNC80,7,11,0.469268704570988,0.629729329683109,1.82822274668748,0.201882668275655,0.780745674716923
AHNAK2,8,12,0.491069806683385,0.659588082071356,1.80632381253735,0.227685648685697,0.780745674716923
ANKRD26,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
CABIN1,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
CNTLN,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
FCRL5,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
FHAD1,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
FLG2,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
FSTL5,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
IDH1,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
INSRR,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
NPAS3,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
RGSL1,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
SPTAN1,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
SPTBN4,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
TRIOBP,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
ZNF99,5,3,0.501026402906606,1.70269780212652,11.1333976618381,0.32561219056346,0.780745674716923
ALK,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
ATP8A2,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
C20orf26,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
CEP290,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
CNTN1,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
COL15A1,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
COL9A1,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
DOCK10,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
DYNC1H1,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
FHOD3,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
GCN1L1,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
HELZ,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
IGSF3,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
MEGF8,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
MRC2,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
PLCB4,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
PTPRC,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
SEMA3A,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
TTC3,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
UNC45B,3,6,0.502290427218432,0.498082976944356,2.37615971606893,0.0793527873947822,0.780745674716923
