db,category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
KEGG,Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,39/555,371/9382,0.105121293800539,1.77702338457055,3.82912060399715,0.000312008140574597,0.00382209972203881,0.00306534313546972,2562/2743/6344/2894/6755/130576/2903/2859/2150/2918/134/150/2568/1902/2151/51083/5745/4886/9002/5731/2831/624/187/623/7434/89832/2550/2696/5021/5733/1138/1903/5739/3274/4889/4923/2906/6865/1906,39
KEGG,Human Diseases,Infectious disease: parasitic,hsa05146,Amoebiasis,16/555,103/9382,0.155339805825243,2.62594244730167,4.16042493170118,0.000333448751923458,0.00392135732261986,0.00314494822866756,2919/3918/3908/284217/1277/1285/10319/1281/1278/3569/2921/1286/7042/5332/9630/7040,16
KEGG,Environmental Information Processing,Signaling molecules and interaction,hsa04060,Cytokine-cytokine receptor interaction,33/555,298/9382,0.110738255033557,1.87197533103573,3.83564375370089,0.000354361903900681,0.00400701537487693,0.0032136464159414,6372/1271/6366/6374/2919/9547/655/3623/2658/4804/5197/1896/6387/3569/658/9173/2921/6356/10344/653/7042/392255/6347/3977/90865/146433/9966/1489/353500/27242/3589/8794/7040,33
KEGG,Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,33/555,300/9382,0.11,1.8594954954955,3.79383099015685,0.000400157622934725,0.00435727189417811,0.00349455390009272,2263/5156/8912/4915/2069/5603/5979/3082/7039/4804/776/2353/7042/7010/5602/3480/255189/5321/2246/284/6300/2252/4908/2260/3815/775/5801/9254/5154/3164/80310/627/7040,33
KEGG,Human Diseases,Immune disease,hsa05323,Rheumatoid arthritis,15/555,95/9382,0.157894736842105,2.66913229018492,4.09995731228984,0.000424201539840415,0.00445411616832435,0.00357222349339297,6372/6374/2919/6387/3569/2921/525/2353/7042/7010/6347/284/1513/3589/7040,15
KEGG,Organismal Systems,Endocrine system,hsa04911,Insulin secretion,14/555,86/9382,0.162790697674419,2.75189608212864,4.09236164573992,0.000475843810374058,0.00482407173275769,0.00386892971048236,486/3651/6616/3710/90993/6262/111/3781/3767/776/482/5332/775/27345,14
KEGG,Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,25/555,212/9382,0.117924528301887,1.99345571987081,3.6685654655106,0.000726884102897808,0.00712346420839852,0.00571305400172312,2263/5156/2903/5603/3082/111/1902/4804/9002/7010/7057/3480/5587/2246/5909/284/6300/2252/5332/2260/3815/3397/5154/51196/80310,25
KEGG,Metabolism,Glycan biosynthesis and metabolism,hsa00512,Mucin type O-glycan biosynthesis,8/555,36/9382,0.222222222222222,3.75655655655656,4.15498792175769,0.000986853637603058,0.00935919256307417,0.00750611934883141,10331/79695/2591/79623/51809/114805/11227/55808,8
KEGG,Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,11/555,63/9382,0.174603174603175,2.95158015158015,3.89705475303321,0.00104025171497205,0.00955731263130574,0.00766501263663619,54361/7477/64399/7472/2736/11211/8324/2735/2535/8325/2737,11
KEGG,Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,11/555,65/9382,0.169230769230769,2.8607623007623,3.77462685528101,0.00135849663108875,0.0121029699860634,0.00970664259533904,8912/3710/90993/111/3776/3777/5087/776/5332/775/3164,11
KEGG,Human Diseases,Substance dependence,hsa05030,Cocaine addiction,9/555,49/9382,0.183673469387755,3.10490899062328,3.70412152377361,0.00203447490769185,0.017592224201806,0.0141090519914234,84152/2903/90993/2354/111/26086/6531/2906/627,9
KEGG,Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,14/555,100/9382,0.14,2.36663063063063,3.44504472644012,0.00216495161856589,0.0181855935959535,0.0145849372198123,6372/6366/6374/2919/9547/5197/6387/3569/2921/6356/10344/6347/146433/8794,14
KEGG,Human Diseases,Infectious disease: parasitic,hsa05144,Malaria,9/555,50/9382,0.18,3.04281081081081,3.63153539072356,0.00235395419526157,0.0192239592613029,0.0154177116882629,1311/7058/3082/6403/3569/7042/7057/6347/7040,9
KEGG,Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,14/555,102/9382,0.137254901960784,2.3202261084614,3.36154485773239,0.00261399808699444,0.020770687502064,0.0166581954903771,486/1080/6344/3710/6262/111/5874/9545/482/6558/5332/5322/3784/683,14
KEGG,Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",15/555,115/9382,0.130434782608696,2.20493537015276,3.25992484551731,0.00309668756454362,0.0239585827362059,0.0192149034475837,65268/10568/5744/3710/4326/90993/111/5745/27347/2353/1958/4325/5332/2260/5141,15
KEGG,Metabolism,Lipid metabolism,hsa00590,Arachidonic acid metabolism,10/555,63/9382,0.158730158730159,2.68325468325468,3.3612432769578,0.00361195128791916,0.0272285558627752,0.021837438285935,5730/9536/5740/2678/2687/5743/255189/5321/5322/4056,10
KEGG,Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,18/555,154/9382,0.116883116883117,1.97585117585118,3.06164373802936,0.00424938359027738,0.0312329693885388,0.0250489980058456,486/5522/5603/90993/6262/111/3776/6332/776/5350/482/6300/4634/5332/70/775/9254/3784,18
KEGG,Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,18/555,155/9382,0.116129032258065,1.9631037489102,3.03160879548138,0.00455168739296797,0.0326389291105508,0.0261765847503164,54361/8912/7477/3710/90993/111/7472/3776/3777/5087/776/11211/8324/5332/2535/8325/775/3164,18
KEGG,Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,13/555,98/9382,0.13265306122449,2.2424342710057,3.10015487541526,0.00493183365600745,0.0345228355920522,0.0276874871916208,8912/3710/90993/111/3777/776/747/5587/482/57172/5332/775/3164,13
KEGG,Organismal Systems,Sensory system,hsa04750,Inflammatory mediator regulation of TRP channels,13/555,99/9382,0.131313131313131,2.21978341978342,3.05928997893136,0.00538022028838165,0.0367856922042838,0.0295023095372702,5603/3710/2150/59341/111/624/5602/623/255189/5321/6300/5332/8989,13
KEGG,Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,10/555,69/9382,0.144927536231884,2.44992818905862,3.03103348002636,0.00700083034958985,0.046778275517714,0.0375164114427782,84152/2903/90993/2354/111/776/2353/6531/2906/775,10
KEGG,Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,24/555,238/9382,0.100840336134454,1.70465591642062,2.76097178673022,0.00721919150701885,0.0471653845125232,0.0378268747970111,2263/5156/4915/8437/2903/3082/7039/4804/7010/5602/3480/255189/5321/2246/284/2252/4908/2260/3815/5322/5154/51196/80310/627,24
